Designator,Mid X,Mid Y,Rotation,Layer
C1,105.5,-99.0,180.0,top
C10,100.0,-99.6,0.0,top
C11,100.0,-105.05,180.0,top
C12,122.75,-107.0,270.0,top
C13,133.8,-107.6,270.0,top
C2,107.23,-97.149264,0.0,top
C3,117.0,-100.4,270.0,top
C4,114.02,-109.0,180.0,top
C5,107.232233,-95.881127,0.0,top
C6,102.8,-104.4,180.0,top
C7,102.8,-105.4,180.0,top
C8,102.8,-108.2,0.0,top
C9,106.8,-108.6,270.0,top
D1,91.75,-110.5,0.0,top
FB1,102.8,-106.8,180.0,top
J1,138.995,-103.255,90.0,top
J2,113.44,-90.6,90.0,top
J3,113.44,-115.6,90.0,top
J4,127.999999,-95.75,90.0,top
R1,123.6,-98.5,180.0,top
R2,126.503122,-101.348165,270.0,top
R3,91.6,-109.2,0.0,top
U1,111.0,-103.25,270.0,top
U2,128.2,-109.0,0.0,top
Y1,99.35,-102.4,270.0,top
